"","Lot Area","Overall Qual","Year Remod/Add","Gr Liv Area","TotRms AbvGrd","Garage Area","Yr Sold","Sale Type","SalePrice (Thousands)"
"1",31770,6,1960,1656,7,528,2010,"WD ",215
"2",11622,5,1961,896,5,730,2010,"WD ",105
"3",14267,6,1958,1329,6,312,2010,"WD ",172
"4",11160,7,1968,2110,8,522,2010,"WD ",244
"5",13830,5,1998,1629,6,482,2010,"WD ",189.9
"6",9978,6,1998,1604,7,470,2010,"WD ",195.5
"7",4920,8,2001,1338,6,582,2010,"WD ",213.5
"8",5005,8,1992,1280,5,506,2010,"WD ",191.5
"9",5389,8,1996,1616,5,608,2010,"WD ",236.5
"10",7500,7,1999,1804,7,442,2010,"WD ",189
"11",10000,6,1994,1655,7,440,2010,"WD ",175.9
"12",7980,6,2007,1187,6,420,2010,"WD ",185
"13",8402,6,1998,1465,7,393,2010,"WD ",180.4
"14",10176,7,1990,1341,5,506,2010,"WD ",171.5
"15",6820,8,1985,1502,4,528,2010,"WD ",212
"16",53504,8,2003,3279,12,841,2010,"WD ",538
"17",12134,8,2005,1752,8,492,2010,"WD ",164
"18",11394,9,2010,1856,8,834,2010,"New",394.432
"19",19138,4,1951,864,4,400,2010,"WD ",141
"20",13175,6,1988,2073,7,500,2010,"WD ",210
"21",11751,6,1977,1844,7,546,2010,"COD",190
"22",10625,7,1974,1173,6,528,2010,"WD ",170
"23",7500,7,2000,1674,7,663,2010,"WD ",216
"24",11241,6,1970,1004,5,480,2010,"WD ",149
"25",12537,5,2008,1078,6,500,2010,"WD ",149.9
"26",8450,5,1968,1056,6,304,2010,"WD ",142
"27",8400,4,1970,882,4,525,2010,"WD ",126
"28",10500,4,1971,864,5,0,2010,"ConLI",115
"29",5858,7,1999,1337,5,511,2010,"WD ",184
"30",1680,6,1971,987,5,264,2010,"COD",96
"31",1680,5,1971,1092,6,320,2010,"WD ",105.5
"32",1680,6,1971,1092,6,264,2010,"WD ",88
"33",4043,6,1977,1069,4,440,2010,"WD ",127.5
"34",2280,6,1975,1456,6,440,2010,"WD ",149.9
"35",2280,7,1975,836,4,308,2010,"WD ",120
"36",2280,6,1978,1456,7,440,2010,"WD ",146
"37",12858,9,2010,2334,10,751,2010,"New",376.162
"38",11478,8,2008,1704,7,772,2010,"WD ",306
"39",10159,9,2010,1940,8,606,2010,"New",395.192
"40",12883,8,2010,1544,7,868,2010,"New",290.941
"41",12182,7,2005,1541,7,532,2010,"New",220
"42",11520,9,2005,1698,7,730,2010,"WD ",275
"43",14122,8,2006,1822,8,678,2010,"WD ",259
"44",10171,7,2004,1535,7,532,2010,"WD ",214
"45",12919,9,2010,2364,11,820,2010,"New",611.657
"46",6371,7,2010,1358,6,484,2010,"New",224
"47",14300,9,2004,2696,10,958,2010,"WD ",500
"48",13650,8,2002,2250,7,756,2010,"WD ",320
